Index,Date,Sermon Title,Primary Speaker,Service Duration,Preaching Start,Preaching End,Audio Size (MB),Status,Transcript Markdown,Trimmed Audio File,Completed At,GUID
1,2026-08-30,The Healing Properties of Psalm 23 (Part 5): Paths of Righteousness,John C. Wood,1:30:00,00:48:54,01:29:37,42.9,SUCCESS,2026-08-30 - The Healing Properties of Psalm 23 (Part 5)- Paths of Righteousness.md,2026-08-30 - The Healing Properties of Psalm 23 (Part 5)- Paths of Righteousness - Preaching.mp3,2026-09-03 22:50:51,https://s3.amazonaws.com/ccstarchives/xml/0830261
2,2026-08-23,It Is the Love of God That Is Hindering You,John C. Wood,1:30:00,00:44:26,01:21:40,38.4,SUCCESS,2026-08-23 - It Is the Love of God That Is Hindering You.md,2026-08-23 - It Is the Love of God That Is Hindering You - Preaching.mp3,2026-09-03 22:51:06,https://s3.amazonaws.com/ccstarchives/xml/0823261
3,2026-08-16,I Am Christ Chapel - Katie Peck,Katie Peck,1:30:00,00:34:13,01:20:00,37.3,SUCCESS,2026-08-16 - I Am Christ Chapel - Katie Peck.md,2026-08-16 - I Am Christ Chapel - Katie Peck - Preaching.mp3,2026-09-02 02:21:19,https://s3.amazonaws.com/ccstarchives/xml/0816261
4,2026-08-09,The Healing Properties of Psalm 23 (Part 4): Refreshment and Restoration,John C. Wood,1:30:00,00:32:00,01:14:45,34.3,SUCCESS,2026-08-09 - The Healing Properties of Psalm 23 (Part 4)- Refreshment and Restoration.md,2026-08-09 - The Healing Properties of Psalm 23 (Part 4)- Refreshment and Restoration - Preaching.mp3,2026-09-02 03:21:12,https://s3.amazonaws.com/ccstarchives/xml/0809261
5,2026-08-02,The Healing Properties of Psalm 23 (Part 3): Submission and Rest,John C. Wood,1:30:00,00:42:08,01:14:11,34.3,SUCCESS,2026-08-02 - The Healing Properties of Psalm 23 (Part 3)- Submission and Rest.md,2026-08-02 - The Healing Properties of Psalm 23 (Part 3)- Submission and Rest - Preaching.mp3,2026-08-31 10:53:22,https://s3.amazonaws.com/ccstarchives/xml/0802261
6,2026-07-26,Wrestle to Win,Jason Braddock,1:30:00,00:40:00,01:23:27,38.2,SUCCESS,2026-07-26 - Wrestle to Win.md,2026-07-26 - Wrestle to Win - Preaching.mp3,2026-09-02 03:22:29,https://s3.amazonaws.com/ccstarchives/xml/0726261
7,2026-07-19,The Healing Properties of Psalm 23 (Part 2): Provision,John C. Wood,1:30:00,00:26:38,01:06:33,31.5,SUCCESS,2026-07-19 - The Healing Properties of Psalm 23 (Part 2)- Provision.md,2026-07-19 - The Healing Properties of Psalm 23 (Part 2)- Provision - Preaching.mp3,2026-08-30 18:51:31,https://s3.amazonaws.com/ccstarchives/xml/0719261
8,2026-07-12,The Healing Properties of Psalm 23 (Part 1): Identification,John C. Wood,1:30:00,00:32:00,01:20:23,38.8,SUCCESS,2026-07-12 - The Healing Properties of Psalm 23 (Part 1)- Identification.md,2026-07-12 - The Healing Properties of Psalm 23 (Part 1)- Identification - Preaching.mp3,2026-08-30 19:48:37,https://s3.amazonaws.com/ccstarchives/xml/0712261
9,2026-07-05,The Victory that Overcometh the World,John C. Wood,1:30:00,00:35:45,01:29:24,40.9,SUCCESS,2026-07-05 - The Victory that Overcometh the World.md,2026-07-05 - The Victory that Overcometh the World - Preaching.mp3,2026-08-30 19:51:59,https://s3.amazonaws.com/ccstarchives/xml/0705261
10,2026-06-28,Obedient Faith,Nick Gilchrist,1:30:00,00:33:00,01:14:18,34.0,SUCCESS,2026-06-28 - Obedient Faith.md,2026-06-28 - Obedient Faith - Preaching.mp3,2026-08-30 21:32:58,https://s3.amazonaws.com/ccstarchives/xml/0628261
11,2026-06-21,This Is My Road,John C. Wood,1:30:00,00:34:24,01:09:14,32.1,SUCCESS,2026-06-21 - This Is My Road.md,2026-06-21 - This Is My Road - Preaching.mp3,2026-08-30 21:39:30,https://s3.amazonaws.com/ccstarchives/xml/0621261
12,2026-06-14,Families 4 Families,Philip Blinson,1:30:00,00:16:00,01:29:22,41.1,SUCCESS,2026-06-14 - Families 4 Families.md,2026-06-14 - Families 4 Families - Preaching.mp3,2026-08-30 21:41:59,https://s3.amazonaws.com/ccstarchives/xml/0614261
